name_with_owner,stargazers,created_at,releases_count,n_classes,cbo_mean,dit_mean,lcom_mean,loc,comment_lines
apache/flink-cdc,6388,2020-07-27T19:23:33Z,24,2116,8.370982986767485,1.45179584120983,28.626654064272213,132584.0,
apache/fory,4289,2023-04-28T03:57:00Z,65,1916,5.20615866388309,2.1310020876826723,46.907098121085596,104356.0,
apache/hadoop,15516,2014-08-28T07:00:08Z,0,21988,7.452337638712025,1.6132435874113153,70.29702565035474,1672418.0,
apache/hbase,5578,2014-05-23T07:00:07Z,50,11647,7.838928479436765,1.4881085258006355,70.14441487078217,951970.0,
apache/hertzbeat,7157,2022-02-04T14:48:56Z,7,1722,7.069686411149826,1.248548199767712,13.031939605110336,81566.0,
apache/hive,6016,2009-05-21T02:31:01Z,0,20614,6.906956437372659,1.4051615407004947,92.71713398661105,2025491.0,
apache/hudi,6137,2016-12-14T15:53:41Z,33,4913,9.243232240993283,1.5587217585996336,66.14939955220842,336763.0,
apache/iceberg,8703,2018-11-19T16:26:46Z,32,4865,8.60082219938335,1.634121274409044,36.91017471736896,337221.0,
apache/ignite,5063,2015-02-19T08:00:05Z,0,21136,5.611894398183194,1.651116578349735,493.50818508705527,1125110.0,
apache/incubator-heron,3685,2015-09-25T16:09:24Z,56,1676,5.562649164677804,1.4349642004773269,20.403341288782816,69959.0,
apache/incubator-kie-drools,6238,2011-02-18T08:37:05Z,6,11936,6.559400134048257,1.5888907506702412,65.0603217158177,770029.0,
apache/incubator-kie-optaplanner,3491,2011-02-15T19:38:23Z,6,3215,7.274650077760498,1.8746500777604977,49.22083981337481,155526.0,
