owner,name,repo_full,url,stars,contributors,commits_5_anos,default_branch,faixa_stars,faixa_contributors,faixa_commits
wagtail,wagtail,wagtail/wagtail,https://github.com/wagtail/wagtail,20331,1089,8606,main,3. 10k–25k,5. > 1000,4. 5k–20k
w-okada,voice-changer,w-okada/voice-changer,https://github.com/w-okada/voice-changer,20270,26,1754,master,3. 10k–25k,2. 11–50,3. 1k–5k
facebook,prophet,facebook/prophet,https://github.com/facebook/prophet,20191,191,179,main,3. 10k–25k,3. 51–200,1. 100–499
hugohe3,ppt-master,hugohe3/ppt-master,https://github.com/hugohe3/ppt-master,20160,9,666,main,3. 10k–25k,1. 5–10,2. 500–999
Panniantong,Agent-Reach,Panniantong/Agent-Reach,https://github.com/Panniantong/Agent-Reach,20140,21,249,main,3. 10k–25k,2. 11–50,1. 100–499
openai,gpt-oss,openai/gpt-oss,https://github.com/openai/gpt-oss,20117,64,128,main,3. 10k–25k,3. 51–200,1. 100–499
google-research,timesfm,google-research/timesfm,https://github.com/google-research/timesfm,20076,23,320,master,3. 10k–25k,2. 11–50,1. 100–499
openai,skills,openai/skills,https://github.com/openai/skills,20069,34,110,main,3. 10k–25k,2. 11–50,1. 100–499
nginx-proxy,nginx-proxy,nginx-proxy/nginx-proxy,https://github.com/nginx-proxy/nginx-proxy,19839,170,1006,main,3. 10k–25k,3. 51–200,3. 1k–5k
google,adk-python,google/adk-python,https://github.com/google/adk-python,19821,286,2706,main,3. 10k–25k,4. 201–1000,3. 1k–5k
camel-ai,owl,camel-ai/owl,https://github.com/camel-ai/owl,19801,47,641,main,3. 10k–25k,2. 11–50,2. 500–999
datalab-to,surya,datalab-to/surya,https://github.com/datalab-to/surya,19766,18,960,master,3. 10k–25k,2. 11–50,2. 500–999
Imbad0202,academic-research-skills,Imbad0202/academic-research-skills,https://github.com/Imbad0202/academic-research-skills,19706,7,429,main,3. 10k–25k,1. 5–10,1. 100–499
OpenBMB,VoxCPM,OpenBMB/VoxCPM,https://github.com/OpenBMB/VoxCPM,19654,27,144,main,3. 10k–25k,2. 11–50,1. 100–499
akfamily,akshare,akfamily/akshare,https://github.com/akfamily/akshare,19624,22,837,main,3. 10k–25k,2. 11–50,2. 500–999
CloakHQ,CloakBrowser,CloakHQ/CloakBrowser,https://github.com/CloakHQ/CloakBrowser,19557,16,175,main,3. 10k–25k,2. 11–50,1. 100–499
kaixindelele,ChatPaper,kaixindelele/ChatPaper,https://github.com/kaixindelele/ChatPaper,19510,15,348,main,3. 10k–25k,2. 11–50,1. 100–499
stitionai,devika,stitionai/devika,https://github.com/stitionai/devika,19508,47,186,main,3. 10k–25k,2. 11–50,1. 100–499
fastapi,typer,fastapi/typer,https://github.com/fastapi/typer,19459,103,1344,master,3. 10k–25k,3. 51–200,3. 1k–5k
chidiwilliams,buzz,chidiwilliams/buzz,https://github.com/chidiwilliams/buzz,19372,31,719,main,3. 10k–25k,2. 11–50,2. 500–999
comet-ml,opik,comet-ml/opik,https://github.com/comet-ml/opik,19360,125,5873,main,3. 10k–25k,3. 51–200,4. 5k–20k
AIDC-AI,Pixelle-Video,AIDC-AI/Pixelle-Video,https://github.com/AIDC-AI/Pixelle-Video,19356,17,347,main,3. 10k–25k,2. 11–50,1. 100–499
SWE-agent,SWE-agent,SWE-agent/SWE-agent,https://github.com/SWE-agent/SWE-agent,19280,96,2158,main,3. 10k–25k,3. 51–200,3. 1k–5k
joke2k,faker,joke2k/faker,https://github.com/joke2k/faker,19259,665,1579,master,3. 10k–25k,4. 201–1000,3. 1k–5k
