repo_full,n_commits,n_bic,taxa_bic_pct,pct_pequeno,pct_medio,pct_grande
stanford-oval/storm,181,43,23.76,60.77,28.18,11.05
stanfordnlp/dspy,5469,185,3.38,57.76,35.56,6.67
state-spaces/mamba,228,26,11.4,74.12,22.37,3.51
stitionai/devika,148,26,17.57,62.16,25.68,12.16
streamlit/streamlit,10279,0,0.0,40.62,41.25,18.13
subframe7536/maple-font,752,141,18.75,54.79,28.86,16.36
suitenumerique/docs,3027,66,2.18,32.97,44.53,22.5
swisskyrepo/PayloadsAllTheThings,107,0,0.0,69.16,26.17,4.67
sympy/sympy,12831,111,0.87,66.0,31.39,2.61
tensorflow/models,144,0,0.0,32.64,61.81,5.56
tgbot-collection/YYeTsBot,495,89,17.98,59.8,33.13,7.07
tinygrad/tinygrad,14487,250,1.73,58.51,36.55,4.94
tirth8205/code-review-graph,437,83,18.99,29.06,55.84,15.1
topoteretes/cognee,6670,294,4.41,48.07,40.57,11.36
tornadoweb/tornado,513,32,6.24,63.55,32.75,3.7
tqdm/tqdm,341,50,14.66,70.97,25.51,3.52
trailofbits/algo,268,11,4.1,63.06,26.49,10.45
treeverse/dvc,3398,413,12.15,59.45,31.84,8.71
ultralytics/ultralytics,1359,79,5.81,65.78,27.89,6.33
ultralytics/yolov5,2807,128,4.56,78.16,19.49,2.35
unclecode/crawl4ai,612,37,6.05,41.34,44.12,14.54
unslothai/unsloth,2834,65,2.29,51.2,35.67,13.13
usestrix/strix,481,138,28.69,43.45,37.84,18.71
vanna-ai/vanna,667,115,17.24,56.52,37.03,6.45
verl-project/verl,2621,155,5.91,46.28,34.76,18.96
vinta/awesome-python,667,10,1.5,83.66,14.69,1.65
virattt/ai-hedge-fund,500,19,3.8,46.2,43.4,10.4
vllm-project/vllm,9973,137,1.37,44.65,40.69,14.66
vnpy/vnpy,1043,37,3.55,55.13,37.49,7.38
volcengine/OpenViking,1531,103,6.73,27.56,40.63,31.81
w-okada/voice-changer,1563,103,6.59,49.01,33.33,17.66
wagtail/wagtail,11524,56,0.49,56.59,36.71,6.71
walter201230/Python,113,0,0.0,46.9,50.44,2.65
wkentaro/labelme,1253,117,9.34,61.69,34.48,3.83
wshobson/agents,372,35,9.41,36.02,44.35,19.62
xming521/WeClone,336,49,14.58,57.74,28.57,13.69
xtekky/gpt4free,976,109,11.17,57.79,33.5,8.71
ycm-core/YouCompleteMe,346,35,10.12,63.58,33.53,2.89
yt-dlp/yt-dlp,654,38,5.81,49.69,47.86,2.45
ytdl-org/youtube-dl,900,51,5.67,53.56,46.0,0.44
zai-org/Open-AutoGLM,59,8,13.56,47.46,44.07,8.47
zauberzeug/nicegui,5764,143,2.48,66.13,29.6,4.27
zhayujie/CowAgent,1502,131,8.72,55.33,34.35,10.32
zulip/zulip,32954,42,0.13,58.48,35.35,6.17
zylon-ai/private-gpt,317,43,13.56,58.68,29.97,11.36
